Player,Role,Team,Opponent_Team,Opponent_Player,Date,Week,Day,Patch,Stage,No_Game,all_Games,Format,Game_of_day,Side,Time,Ban,Ban_Opponent,Pick,Pick_Opponent,Champion,Champion_Opponent,Outcome,Kills_Team,Turrets_Team,Dragon_Team,Baron_Team,Level,Kills,Deaths,Assists,KDA,CS,CS_in_Teams_Jungle,CS_in_Enemy_Jungle,CSM,Golds,GPM,GOLD%,Vision_Score,Wards_placed,Wards_destroyed,Control_Wards_Purchased,Detector_Wards_Placed,VSPM,WPM,VWPM,WCPM,VS%,Total_damage_to_Champion,Physical_Damage,Magic_Damage,True_Damage,DPM,DMG%,K+A_Per_Minute,KP%,Solo_kills,Double_kills,Triple_kills,Quadra_kills,Penta_kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives_Stolen,Damage_dealt_to_turrets,Damage_dealt_to buildings,Total_heal,Total_Heals_On_Teammates,Damage_self_mitigated,Total_Damage_Shielded_On_Teammates,Time_ccing_others,Total_Time_CC_Dealt,Total_damage_taken,Total_Time_Spent_Dead,Consumables_purchased,Items_Purchased,Shutdown_bounty_collected,Shutdown_bounty_lost
Oscarinin,TOP,FNC,RGE,Finn,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Blue,0:30:37,Draven,Smolder,Taliyah,Nautilus,KSante,Udyr,Win,14,8,4,1,17,2,1,5,7,285,0,0,9.3,12367,404,20.8,29,10,8,1,1,0.95,0.33,0.03,0.26,10.8,9358,7879,1368,111,306,16.9,0.23,50,0,1,0,0,0,-417,23,380,0,0,2644,2644,1846,0,42267,711,19,1042,23102,55,2,18,0,350
Razork,JUNGLE,FNC,RGE,Markoon,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Blue,0:30:37,Volibear,Renata_Glasc,Rell,Kalista,Sejuani,Vi,Win,14,8,4,1,14,0,0,11,Perfect_KDA,173,158,0,5.7,9432,308,15.9,47,11,10,9,9,1.54,0.36,0.29,0.33,17.5,5618,2493,2955,170,183,10.2,0.36,78.6,0,0,0,0,0,47,6,518,0,0,255,255,15294,679,34817,853,13,344,23364,0,10,25,0,0
Humanoid,MID,FNC,RGE,Larssen,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Blue,0:30:37,Senna,Orianna,Zeri,Hwei,Taliyah,Hwei,Win,14,8,4,1,18,6,1,6,12,358,48,0,11.7,15107,493,25.5,40,14,6,4,2,1.31,0.46,0.13,0.2,14.9,22798,1311,21177,310,745,41.3,0.39,85.7,0,1,0,0,0,917,13,336,0,0,6149,6149,1251,0,5321,0,34,735,10753,55,7,24,50,700
Noah,ADCARRY,FNC,RGE,Comp,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Blue,0:30:37,Xin_Zhao,Braum,Sejuani,Vi,Zeri,Kalista,Win,14,8,4,1,16,5,0,7,Perfect_KDA,302,27,0,9.9,14362,469,24.2,43,11,9,5,4,1.4,0.36,0.16,0.29,16,14689,10473,3856,360,480,26.6,0.39,85.7,1,1,0,0,0,500,0,374,1,0,9120,9120,4178,0,10045,0,4,129,11667,0,6,22,0,0
Jun,SUPPORT,FNC,RGE,Zoelys,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Blue,0:30:37,Lee_Sin,Alistar,Ksante,Udyr,Rell,Nautilus,Win,14,8,4,1,12,1,3,12,4.3,34,0,0,1.1,8053,263,13.6,109,51,15,15,14,3.56,1.67,0.49,0.49,40.7,2758,231,2293,234,90,5,0.42,92.9,0,0,0,0,0,480,4,738,1,0,0,0,507,349,16179,0,17,46,11703,106,17,33,0,0
Finn,TOP,RGE,FNC,Oscarinin,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Red,0:30:37,Smolder,Draven,Nautilus,Taliyah,Udyr,KSante,Loss,5,2,1,0,16,0,3,2,0.7,246,0,0,8,10454,341,21.3,35,14,4,6,6,1.14,0.46,0.2,0.13,16.3,10883,4216,6302,365,355,19.3,0.07,40,0,0,0,0,0,417,-23,-380,0,0,3064,3064,5959,0,47918,0,35,7480,23391,149,8,25,0,0
Markoon,JUNGLE,RGE,FNC,Razork,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Red,0:30:37,Renata_Glasc,Volibear,Kalista,Rell,Vi,Sejuani,Loss,5,2,1,0,13,0,2,3,1.5,179,162,0,5.8,8822,288,18,42,10,12,6,6,1.37,0.33,0.2,0.39,19.5,5524,4961,0,563,180,9.8,0.1,60,0,0,0,0,0,-47,-6,-518,0,0,2365,2365,11389,0,25999,0,14,313,20927,61,6,24,0,0
Larssen,MID,RGE,FNC,Humanoid,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Red,0:30:37,Orianna,Senna,Hwei,Zeri,Hwei,Taliyah,Loss,5,2,1,0,15,2,2,3,2.5,254,0,0,8.3,11005,359,22.4,22,12,2,2,1,0.72,0.39,0.07,0.07,10.2,22918,397,22316,205,749,40.7,0.16,100,0,0,0,0,0,-917,-13,-336,0,0,1450,1450,259,0,6763,390,32,953,10141,67,5,23,350,50
Comp,ADCARRY,RGE,FNC,Noah,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Red,0:30:37,Braum,Xin_Zhao,Vi,Sejuani,Kalista,Zeri,Loss,5,2,1,0,15,3,4,1,1,277,12,0,9,12228,399,24.9,23,14,4,5,4,0.75,0.46,0.16,0.13,10.7,13544,11966,1278,300,442,24.1,0.13,80,0,0,0,0,0,-500,0,-374,-1,0,186,186,2955,0,5599,0,7,363,12798,75,6,22,700,0
Zoelys,SUPPORT,RGE,FNC,Jun,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,2,Red,0:30:37,Alistar,Lee_Sin,Udyr,Ksante,Nautilus,Rell,Loss,5,2,1,0,11,0,3,5,1.7,36,0,0,1.2,6604,216,13.4,93,41,16,9,7,3.04,1.34,0.29,0.52,43.3,3412,583,2136,693,111,6.1,0.16,100,0,0,0,0,0,-480,-4,-738,-1,0,0,0,1370,603,14951,1163,35,193,9703,79,11,24,0,0
